id,name,correct,total,acc,rank
0,abseiling,42.0,50.0,0.84,294
1,air drumming,39.0,49.0,0.7959183673469388,332
2,answering questions,33.0,50.0,0.66,373
3,applauding,28.0,50.0,0.56,387
4,applying cream,45.0,50.0,0.9,220
5,archery,47.0,50.0,0.94,140
6,arm wrestling,49.0,49.0,1.0,22
7,arranging flowers,49.0,50.0,0.98,63
8,assembling computer,50.0,50.0,1.0,30
9,auctioning,45.0,50.0,0.9,218
10,baby waking up,42.0,50.0,0.84,291
11,baking cookies,46.0,49.0,0.9387755102040817,170
12,balloon blowing,46.0,49.0,0.9387755102040817,172
13,bandaging,46.0,50.0,0.92,182
14,barbequing,46.0,50.0,0.92,181
15,bartending,49.0,50.0,0.98,51
16,beatboxing,38.0,49.0,0.7755102040816326,344
17,bee keeping,49.0,50.0,0.98,49
18,belly dancing,48.0,49.0,0.9795918367346939,71
19,bench pressing,49.0,50.0,0.98,50
20,bending back,37.0,48.0,0.7708333333333334,345
21,bending metal,40.0,50.0,0.8,326
22,biking through snow,47.0,50.0,0.94,141
23,blasting sand,44.0,50.0,0.88,260
24,blowing glass,49.0,50.0,0.98,55
25,blowing leaves,44.0,49.0,0.8979591836734694,238
26,blowing nose,43.0,50.0,0.86,277
27,blowing out candles,47.0,49.0,0.9591836734693877,127
28,bobsledding,43.0,50.0,0.86,275
29,bookbinding,49.0,50.0,0.98,57
30,bouncing on trampoline,43.0,50.0,0.86,276
31,bowling,47.0,49.0,0.9591836734693877,125
32,braiding hair,43.0,49.0,0.8775510204081632,264
33,breading or breadcrumbing,45.0,49.0,0.9183673469387755,204
34,breakdancing,40.0,50.0,0.8,327
35,brush painting,42.0,48.0,0.875,268
36,brushing hair,41.0,50.0,0.82,305
37,brushing teeth,49.0,50.0,0.98,62
38,building cabinet,50.0,50.0,1.0,10
39,building shed,48.0,50.0,0.96,116
40,bungee jumping,49.0,50.0,0.98,67
41,busking,40.0,50.0,0.8,322
42,canoeing or kayaking,48.0,50.0,0.96,114
43,capoeira,48.0,50.0,0.96,113
44,carrying baby,45.0,48.0,0.9375,176
45,cartwheeling,44.0,50.0,0.88,259
46,carving pumpkin,46.0,48.0,0.9583333333333334,131
47,catching fish,42.0,48.0,0.875,267
48,catching or throwing baseball,41.0,50.0,0.82,304
49,catching or throwing frisbee,42.0,50.0,0.84,293
50,catching or throwing softball,44.0,51.0,0.8627450980392157,271
51,celebrating,37.0,50.0,0.74,354
52,changing oil,50.0,50.0,1.0,23
53,changing wheel,43.0,50.0,0.86,283
54,checking tires,47.0,50.0,0.94,160
55,cheerleading,48.0,49.0,0.9795918367346939,76
56,chopping wood,45.0,49.0,0.9183673469387755,200
57,clapping,31.0,48.0,0.6458333333333334,379
58,clay pottery making,48.0,50.0,0.96,107
59,clean and jerk,47.0,49.0,0.9591836734693877,121
60,cleaning floor,37.0,49.0,0.7551020408163265,352
61,cleaning gutters,46.0,50.0,0.92,185
62,cleaning pool,48.0,50.0,0.96,102
63,cleaning shoes,44.0,49.0,0.8979591836734694,239
64,cleaning toilet,48.0,50.0,0.96,108
65,cleaning windows,47.0,50.0,0.94,158
66,climbing a rope,47.0,50.0,0.94,155
67,climbing ladder,47.0,50.0,0.94,154
68,climbing tree,49.0,50.0,0.98,37
69,contact juggling,47.0,50.0,0.94,153
70,cooking chicken,39.0,50.0,0.78,336
71,cooking egg,30.0,50.0,0.6,382
72,cooking on campfire,45.0,48.0,0.9375,175
73,cooking sausages,41.0,50.0,0.82,308
74,counting money,45.0,49.0,0.9183673469387755,207
75,country line dancing,46.0,50.0,0.92,193
76,cracking neck,41.0,48.0,0.8541666666666666,288
77,crawling baby,47.0,50.0,0.94,149
78,crossing river,47.0,50.0,0.94,148
79,crying,38.0,49.0,0.7755102040816326,343
80,curling hair,44.0,49.0,0.8979591836734694,240
81,cutting nails,41.0,47.0,0.8723404255319149,269
82,cutting pineapple,50.0,50.0,1.0,13
83,cutting watermelon,46.0,47.0,0.9787234042553191,85
84,dancing ballet,49.0,50.0,0.98,41
85,dancing charleston,32.0,49.0,0.6530612244897959,377
86,dancing gangnam style,34.0,48.0,0.7083333333333334,364
87,dancing macarena,42.0,49.0,0.8571428571428571,285
88,deadlifting,48.0,49.0,0.9795918367346939,81
89,decorating the christmas tree,49.0,49.0,1.0,16
90,digging,43.0,50.0,0.86,284
91,dining,45.0,50.0,0.9,222
92,disc golfing,50.0,50.0,1.0,24
93,diving cliff,49.0,49.0,1.0,21
94,dodgeball,47.0,50.0,0.94,147
95,doing aerobics,30.0,50.0,0.6,381
96,doing laundry,44.0,50.0,0.88,249
97,doing nails,47.0,48.0,0.9791666666666666,84
98,drawing,44.0,48.0,0.9166666666666666,213
99,dribbling basketball,47.0,50.0,0.94,159
100,drinking,29.0,49.0,0.5918367346938775,383
101,drinking beer,36.0,50.0,0.72,363
102,drinking shots,41.0,49.0,0.8367346938775511,298
103,driving car,44.0,48.0,0.9166666666666666,211
104,driving tractor,45.0,49.0,0.9183673469387755,208
105,drop kicking,35.0,47.0,0.7446808510638298,353
106,drumming fingers,43.0,50.0,0.86,278
107,dunking basketball,40.0,48.0,0.8333333333333334,302
108,dying hair,45.0,47.0,0.9574468085106383,136
109,eating burger,45.0,49.0,0.9183673469387755,210
110,eating cake,41.0,50.0,0.82,306
111,eating carrots,43.0,48.0,0.8958333333333334,243
112,eating chips,40.0,50.0,0.8,320
113,eating doughnuts,39.0,49.0,0.7959183673469388,329
114,eating hotdog,37.0,50.0,0.74,356
115,eating ice cream,44.0,50.0,0.88,254
116,eating spaghetti,48.0,49.0,0.9795918367346939,77
117,eating watermelon,47.0,50.0,0.94,145
118,egg hunting,49.0,50.0,0.98,36
119,exercising arm,34.0,49.0,0.6938775510204082,368
120,exercising with an exercise ball,40.0,48.0,0.8333333333333334,301
121,extinguishing fire,47.0,49.0,0.9591836734693877,130
122,faceplanting,17.0,49.0,0.3469387755102041,399
123,feeding birds,50.0,50.0,1.0,14
124,feeding fish,45.0,49.0,0.9183673469387755,203
125,feeding goats,49.0,50.0,0.98,33
126,filling eyebrows,48.0,49.0,0.9795918367346939,69
127,finger snapping,38.0,50.0,0.76,348
128,fixing hair,24.0,49.0,0.4897959183673469,391
129,flipping pancake,48.0,49.0,0.9795918367346939,80
130,flying kite,48.0,50.0,0.96,92
131,folding clothes,44.0,49.0,0.8979591836734694,241
132,folding napkins,45.0,49.0,0.9183673469387755,202
133,folding paper,47.0,49.0,0.9591836734693877,123
134,front raises,49.0,50.0,0.98,32
135,frying vegetables,45.0,50.0,0.9,224
136,garbage collecting,40.0,49.0,0.8163265306122449,312
137,gargling,45.0,49.0,0.9183673469387755,201
138,getting a haircut,43.0,49.0,0.8775510204081632,262
139,getting a tattoo,48.0,49.0,0.9795918367346939,74
140,giving or receiving award,45.0,50.0,0.9,230
141,golf chipping,44.0,50.0,0.88,255
142,golf driving,46.0,50.0,0.92,197
143,golf putting,48.0,49.0,0.9795918367346939,79
144,grinding meat,50.0,50.0,1.0,4
145,grooming dog,49.0,50.0,0.98,60
146,grooming horse,45.0,49.0,0.9183673469387755,198
147,gymnastics tumbling,43.0,49.0,0.8775510204081632,263
148,hammer throw,47.0,50.0,0.94,144
149,headbanging,39.0,49.0,0.7959183673469388,330
150,headbutting,24.0,50.0,0.48,392
151,high jump,47.0,50.0,0.94,138
152,high kick,24.0,50.0,0.48,393
153,hitting baseball,49.0,51.0,0.9607843137254902,86
154,hockey stop,33.0,50.0,0.66,375
155,holding snake,48.0,50.0,0.96,91
