id,name,correct,total,acc,rank,error_1,error_2
0,abseiling,38.0,50.0,0.76,291,bungee jumping_3,rock climbing_2
1,air drumming,32.0,49.0,0.6530612244897959,348,headbanging_3,pumping fist_2
2,answering questions,30.0,50.0,0.6,365,giving or receiving award_4,testifying_2
3,applauding,23.0,50.0,0.46,391,giving or receiving award_4,clapping_3
4,applying cream,39.0,50.0,0.78,284,waxing legs_2,cutting nails_1
5,archery,45.0,50.0,0.9,124,catching or throwing frisbee_1,bookbinding_1
6,arm wrestling,48.0,49.0,0.9795918367346939,25,eating ice cream_1,None
7,arranging flowers,46.0,50.0,0.92,99,watering plants_1,wrapping present_1
8,assembling computer,50.0,50.0,1.0,7,None,None
9,auctioning,42.0,50.0,0.84,222,giving or receiving award_2,dining_2
10,baby waking up,44.0,50.0,0.88,171,sneezing_2,sticking tongue out_2
11,baking cookies,42.0,49.0,0.8571428571428571,210,making a cake_3,cooking on campfire_1
12,balloon blowing,43.0,49.0,0.8775510204081632,180,drinking shots_1,massaging person's head_1
13,bandaging,39.0,50.0,0.78,282,waxing legs_3,waxing eyebrows_2
14,barbequing,43.0,50.0,0.86,197,cooking on campfire_2,celebrating_1
15,bartending,45.0,50.0,0.9,127,tai chi_1,tasting beer_1
16,beatboxing,33.0,49.0,0.673469387755102,338,playing harmonica_3,finger snapping_2
17,bee keeping,48.0,50.0,0.96,45,spraying_1,planting trees_1
18,belly dancing,45.0,49.0,0.9183673469387755,114,zumba_2,riding mechanical bull_1
19,bench pressing,48.0,50.0,0.96,42,riding elephant_1,salsa dancing_1
20,bending back,32.0,48.0,0.6666666666666666,341,cartwheeling_3,front raises_2
21,bending metal,31.0,50.0,0.62,363,changing wheel_1,sword fighting_1
22,biking through snow,46.0,50.0,0.92,101,snowmobiling_2,sled dog racing_1
23,blasting sand,41.0,50.0,0.82,251,spraying_4,cleaning floor_3
24,blowing glass,48.0,50.0,0.96,44,arm wrestling_1,cleaning floor_1
25,blowing leaves,40.0,49.0,0.8163265306122449,256,cleaning gutters_2,headbutting_1
26,blowing nose,43.0,50.0,0.86,196,opening present_1,headbutting_1
27,blowing out candles,44.0,49.0,0.8979591836734694,149,headbutting_1,rock scissors paper_1
28,bobsledding,42.0,50.0,0.84,229,tobogganing_7,pushing cart_1
29,bookbinding,46.0,50.0,0.92,102,making jewelry_1,shuffling cards_1
30,bouncing on trampoline,41.0,50.0,0.82,248,gymnastics tumbling_2,somersaulting_2
31,bowling,47.0,49.0,0.9591836734693877,53,throwing ball_1,ice skating_1
32,braiding hair,43.0,49.0,0.8775510204081632,178,fixing hair_2,curling hair_2
33,breading or breadcrumbing,43.0,49.0,0.8775510204081632,177,cooking chicken_5,scrambling eggs_1
34,breakdancing,34.0,50.0,0.68,337,krumping_2,ice skating_1
35,brush painting,38.0,48.0,0.7916666666666666,276,plastering_2,doing nails_2
36,brushing hair,41.0,50.0,0.82,243,shaking head_2,fixing hair_1
37,brushing teeth,46.0,50.0,0.92,103,drinking_1,dying hair_1
