id,name,correct,total,acc,rank
0,abseiling,39.0,50.0,0.78,301
1,air drumming,33.0,49.0,0.673469387755102,347
2,answering questions,31.0,50.0,0.62,362
3,applauding,25.0,50.0,0.5,385
4,applying cream,39.0,50.0,0.78,298
5,archery,46.0,50.0,0.92,119
6,arm wrestling,48.0,49.0,0.9795918367346939,42
7,arranging flowers,47.0,50.0,0.94,79
8,assembling computer,50.0,50.0,1.0,15
9,auctioning,42.0,50.0,0.84,250
10,baby waking up,45.0,50.0,0.9,156
11,baking cookies,42.0,49.0,0.8571428571428571,223
12,balloon blowing,46.0,49.0,0.9387755102040817,95
13,bandaging,40.0,50.0,0.8,285
14,barbequing,44.0,50.0,0.88,191
15,bartending,48.0,50.0,0.96,58
16,beatboxing,33.0,49.0,0.673469387755102,348
17,bee keeping,49.0,50.0,0.98,31
18,belly dancing,45.0,49.0,0.9183673469387755,136
19,bench pressing,49.0,50.0,0.98,33
20,bending back,33.0,48.0,0.6875,340
21,bending metal,30.0,50.0,0.6,369
22,biking through snow,44.0,50.0,0.88,188
23,blasting sand,44.0,50.0,0.88,187
24,blowing glass,48.0,50.0,0.96,60
25,blowing leaves,40.0,49.0,0.8163265306122449,274
26,blowing nose,43.0,50.0,0.86,214
27,blowing out candles,45.0,49.0,0.9183673469387755,138
28,bobsledding,42.0,50.0,0.84,245
29,bookbinding,43.0,50.0,0.86,221
30,bouncing on trampoline,42.0,50.0,0.84,244
31,bowling,47.0,49.0,0.9591836734693877,70
32,braiding hair,44.0,49.0,0.8979591836734694,167
33,breading or breadcrumbing,44.0,49.0,0.8979591836734694,168
34,breakdancing,38.0,50.0,0.76,307
35,brush painting,38.0,48.0,0.7916666666666666,294
36,brushing hair,40.0,50.0,0.8,282
37,brushing teeth,49.0,50.0,0.98,24
38,building cabinet,45.0,50.0,0.9,152
39,building shed,46.0,50.0,0.92,117
40,bungee jumping,49.0,50.0,0.98,22
41,busking,36.0,50.0,0.72,326
42,canoeing or kayaking,44.0,50.0,0.88,183
43,capoeira,45.0,50.0,0.9,150
44,carrying baby,44.0,48.0,0.9166666666666666,141
45,cartwheeling,35.0,50.0,0.7,331
46,carving pumpkin,46.0,48.0,0.9583333333333334,73
47,catching fish,41.0,48.0,0.8541666666666666,230
48,catching or throwing baseball,42.0,50.0,0.84,242
49,catching or throwing frisbee,41.0,50.0,0.82,265
50,catching or throwing softball,43.0,51.0,0.8431372549019608,234
51,celebrating,35.0,50.0,0.7,332
52,changing oil,50.0,50.0,1.0,7
53,changing wheel,40.0,50.0,0.8,279
54,checking tires,45.0,50.0,0.9,158
55,cheerleading,46.0,49.0,0.9387755102040817,100
56,chopping wood,47.0,49.0,0.9591836734693877,69
57,clapping,23.0,48.0,0.4791666666666667,389
58,clay pottery making,47.0,50.0,0.94,86
59,clean and jerk,44.0,49.0,0.8979591836734694,173
60,cleaning floor,37.0,49.0,0.7551020408163265,311
61,cleaning gutters,42.0,50.0,0.84,236
62,cleaning pool,42.0,50.0,0.84,235
63,cleaning shoes,41.0,49.0,0.8367346938775511,252
64,cleaning toilet,46.0,50.0,0.92,121
65,cleaning windows,44.0,50.0,0.88,199
66,climbing a rope,45.0,50.0,0.9,146
67,climbing ladder,42.0,50.0,0.84,241
68,climbing tree,47.0,50.0,0.94,91
69,contact juggling,47.0,50.0,0.94,89
70,cooking chicken,39.0,50.0,0.78,299
71,cooking egg,31.0,50.0,0.62,368
72,cooking on campfire,42.0,48.0,0.875,210
73,cooking sausages,32.0,50.0,0.64,359
74,counting money,43.0,49.0,0.8775510204081632,208
75,country line dancing,49.0,50.0,0.98,23
76,cracking neck,38.0,48.0,0.7916666666666666,295
77,crawling baby,48.0,50.0,0.96,52
78,crossing river,44.0,50.0,0.88,185
79,crying,40.0,49.0,0.8163265306122449,273
80,curling hair,42.0,49.0,0.8571428571428571,224
81,cutting nails,40.0,47.0,0.851063829787234,231
82,cutting pineapple,50.0,50.0,1.0,9
83,cutting watermelon,44.0,47.0,0.9361702127659575,106
84,dancing ballet,48.0,50.0,0.96,46
85,dancing charleston,22.0,49.0,0.4489795918367347,390
86,dancing gangnam style,28.0,48.0,0.5833333333333334,374
87,dancing macarena,39.0,49.0,0.7959183673469388,290
88,deadlifting,46.0,49.0,0.9387755102040817,93
89,decorating the christmas tree,49.0,49.0,1.0,2
90,digging,44.0,50.0,0.88,202
91,dining,40.0,50.0,0.8,276
92,disc golfing,49.0,50.0,0.98,20
93,diving cliff,49.0,49.0,1.0,1
94,dodgeball,46.0,50.0,0.92,124
95,doing aerobics,33.0,50.0,0.66,357
96,doing laundry,38.0,50.0,0.76,310
97,doing nails,48.0,48.0,1.0,4
98,drawing,42.0,48.0,0.875,209
99,dribbling basketball,46.0,50.0,0.92,126
100,drinking,24.0,49.0,0.4897959183673469,387
101,drinking beer,34.0,50.0,0.68,342
102,drinking shots,28.0,49.0,0.5714285714285714,375
103,driving car,43.0,48.0,0.8958333333333334,179
104,driving tractor,41.0,49.0,0.8367346938775511,255
105,drop kicking,25.0,47.0,0.5319148936170213,381
106,drumming fingers,41.0,50.0,0.82,261
107,dunking basketball,40.0,48.0,0.8333333333333334,258
108,dying hair,42.0,47.0,0.8936170212765957,181
109,eating burger,45.0,49.0,0.9183673469387755,139
110,eating cake,33.0,50.0,0.66,353
111,eating carrots,44.0,48.0,0.9166666666666666,140
112,eating chips,35.0,50.0,0.7,333
113,eating doughnuts,27.0,49.0,0.5510204081632653,379
114,eating hotdog,30.0,50.0,0.6,371
115,eating ice cream,38.0,50.0,0.76,308
116,eating spaghetti,47.0,49.0,0.9591836734693877,67
117,eating watermelon,47.0,50.0,0.94,78
118,egg hunting,44.0,50.0,0.88,189
119,exercising arm,27.0,49.0,0.5510204081632653,380
120,exercising with an exercise ball,39.0,48.0,0.8125,275
121,extinguishing fire,45.0,49.0,0.9183673469387755,135
122,faceplanting,17.0,49.0,0.3469387755102041,398
123,feeding birds,46.0,50.0,0.92,107
124,feeding fish,45.0,49.0,0.9183673469387755,133
125,feeding goats,47.0,50.0,0.94,82
126,filling eyebrows,48.0,49.0,0.9795918367346939,43
127,finger snapping,33.0,50.0,0.66,354
128,fixing hair,17.0,49.0,0.3469387755102041,397
129,flipping pancake,48.0,49.0,0.9795918367346939,39
130,flying kite,48.0,50.0,0.96,49
131,folding clothes,43.0,49.0,0.8775510204081632,207
132,folding napkins,45.0,49.0,0.9183673469387755,131
133,folding paper,41.0,49.0,0.8367346938775511,251
134,front raises,49.0,50.0,0.98,26
135,frying vegetables,43.0,50.0,0.86,216
136,garbage collecting,39.0,49.0,0.7959183673469388,289
137,gargling,40.0,49.0,0.8163265306122449,271
138,getting a haircut,42.0,49.0,0.8571428571428571,227
139,getting a tattoo,47.0,49.0,0.9591836734693877,64
140,giving or receiving award,47.0,50.0,0.94,75
141,golf chipping,35.0,50.0,0.7,330
142,golf driving,42.0,50.0,0.84,238
143,golf putting,47.0,49.0,0.9591836734693877,71
144,grinding meat,47.0,50.0,0.94,87
145,grooming dog,46.0,50.0,0.92,118
146,grooming horse,44.0,49.0,0.8979591836734694,171
147,gymnastics tumbling,44.0,49.0,0.8979591836734694,172
148,hammer throw,46.0,50.0,0.92,111
149,headbanging,37.0,49.0,0.7551020408163265,312
150,headbutting,18.0,50.0,0.36,395
151,high jump,47.0,50.0,0.94,74
152,high kick,26.0,50.0,0.52,382
153,hitting baseball,46.0,51.0,0.9019607843137255,143
154,hockey stop,28.0,50.0,0.56,377
155,holding snake,46.0,50.0,0.92,127
156,hopscotch,48.0,50.0,0.96,59
157,hoverboarding,47.0,48.0,0.9791666666666666,45
158,hugging,33.0,49.0,0.673469387755102,349
159,hula hooping,46.0,49.0,0.9387755102040817,102
160,hurdling,46.0,50.0,0.92,123
161,hurling (sport),49.0,50.0,0.98,36
162,ice climbing,47.0,50.0,0.94,76
163,ice fishing,46.0,48.0,0.9583333333333334,72
164,ice skating,49.0,50.0,0.98,19
165,ironing,43.0,48.0,0.8958333333333334,180
166,javelin throw,47.0,50.0,0.94,85
167,jetskiing,46.0,50.0,0.92,122
168,jogging,31.0,50.0,0.62,364
169,juggling balls,44.0,49.0,0.8979591836734694,176
170,juggling fire,44.0,50.0,0.88,200
171,juggling soccer ball,44.0,50.0,0.88,197
172,jumping into pool,47.0,50.0,0.94,88
173,jumpstyle dancing,40.0,49.0,0.8163265306122449,270
174,kicking field goal,45.0,50.0,0.9,159
175,kicking soccer ball,36.0,50.0,0.72,323
176,kissing,41.0,46.0,0.8913043478260869,182
177,kitesurfing,49.0,50.0,0.98,30
178,knitting,47.0,50.0,0.94,90
179,krumping,42.0,50.0,0.84,246
180,laughing,32.0,48.0,0.6666666666666666,351
181,laying bricks,44.0,49.0,0.8979591836734694,174
182,long jump,31.0,50.0,0.62,361
183,lunge,44.0,50.0,0.88,198
184,making a cake,33.0,49.0,0.673469387755102,350
185,making a sandwich,40.0,50.0,0.8,284
186,making bed,47.0,50.0,0.94,92
187,making jewelry,43.0,49.0,0.8775510204081632,205
188,making pizza,45.0,50.0,0.9,149
189,making snowman,48.0,50.0,0.96,48
190,making sushi,47.0,50.0,0.94,77
191,making tea,40.0,50.0,0.8,286
192,marching,48.0,50.0,0.96,61
193,massaging back,42.0,49.0,0.8571428571428571,226
194,massaging feet,33.0,49.0,0.673469387755102,346
195,massaging legs,38.0,49.0,0.7755102040816326,303
196,massaging person's head,38.0,50.0,0.76,306
197,milking cow,48.0,48.0,1.0,3
198,mopping floor,31.0,50.0,0.62,365
199,motorcycling,45.0,49.0,0.9183673469387755,132
200,moving furniture,34.0,50.0,0.68,341
201,mowing lawn,44.0,50.0,0.88,184
202,news anchoring,40.0,50.0,0.8,287
203,opening bottle,41.0,50.0,0.82,266
204,opening present,45.0,50.0,0.9,153
205,paragliding,47.0,50.0,0.94,83
206,parasailing,45.0,50.0,0.9,154
207,parkour,36.0,48.0,0.75,314
208,passing American football (in game),46.0,50.0,0.92,115
209,passing American football (not in game),36.0,49.0,0.7346938775510204,320
210,peeling apples,49.0,50.0,0.98,34
211,peeling potatoes,41.0,50.0,0.82,260
212,petting animal (not cat),32.0,49.0,0.6530612244897959,358
213,petting cat,50.0,50.0,1.0,0
214,picking fruit,47.0,49.0,0.9591836734693877,63
215,planting trees,42.0,49.0,0.8571428571428571,225
216,plastering,37.0,50.0,0.74,318
217,playing accordion,48.0,49.0,0.9795918367346939,38
218,playing badminton,49.0,50.0,0.98,35
219,playing bagpipes,44.0,50.0,0.88,190
220,playing basketball,37.0,50.0,0.74,319
221,playing bass guitar,43.0,50.0,0.86,219
222,playing cards,47.0,50.0,0.94,80
223,playing cello,50.0,50.0,1.0,16
224,playing chess,50.0,50.0,1.0,12
225,playing clarinet,43.0,50.0,0.86,217
226,playing controller,50.0,50.0,1.0,13
227,playing cricket,48.0,49.0,0.9795918367346939,41
228,playing cymbals,44.0,50.0,0.88,192
229,playing didgeridoo,48.0,50.0,0.96,55
230,playing drums,48.0,49.0,0.9795918367346939,44
231,playing flute,39.0,50.0,0.78,300
232,playing guitar,37.0,50.0,0.74,317
233,playing harmonica,42.0,49.0,0.8571428571428571,228
234,playing harp,49.0,50.0,0.98,32
235,playing ice hockey,47.0,49.0,0.9591836734693877,62
236,playing keyboard,34.0,48.0,0.7083333333333334,328
237,playing kickball,44.0,50.0,0.88,193
238,playing monopoly,47.0,50.0,0.94,81
