id,name,correct,total,acc,rank
0,abseiling,42.0,50.0,0.84,285
1,air drumming,39.0,49.0,0.7959183673469388,313
2,answering questions,31.0,50.0,0.62,379
3,applauding,27.0,50.0,0.54,387
4,applying cream,40.0,50.0,0.8,310
5,archery,46.0,50.0,0.92,171
6,arm wrestling,49.0,49.0,1.0,15
7,arranging flowers,47.0,50.0,0.94,111
8,assembling computer,50.0,50.0,1.0,13
9,auctioning,46.0,50.0,0.92,167
10,baby waking up,44.0,50.0,0.88,230
11,baking cookies,43.0,49.0,0.8775510204081632,248
12,balloon blowing,46.0,49.0,0.9387755102040817,139
13,bandaging,45.0,50.0,0.9,200
14,barbequing,48.0,50.0,0.96,74
15,bartending,48.0,50.0,0.96,72
16,beatboxing,36.0,49.0,0.7346938775510204,347
17,bee keeping,49.0,50.0,0.98,45
18,belly dancing,46.0,49.0,0.9387755102040817,140
19,bench pressing,49.0,50.0,0.98,46
20,bending back,34.0,48.0,0.7083333333333334,357
21,bending metal,36.0,50.0,0.72,354
22,biking through snow,45.0,50.0,0.9,195
23,blasting sand,42.0,50.0,0.84,282
24,blowing glass,49.0,50.0,0.98,47
25,blowing leaves,43.0,49.0,0.8775510204081632,250
26,blowing nose,44.0,50.0,0.88,242
27,blowing out candles,45.0,49.0,0.9183673469387755,185
28,bobsledding,42.0,50.0,0.84,281
29,bookbinding,48.0,50.0,0.96,81
30,bouncing on trampoline,43.0,50.0,0.86,264
31,bowling,47.0,49.0,0.9591836734693877,101
32,braiding hair,42.0,49.0,0.8571428571428571,272
33,breading or breadcrumbing,44.0,49.0,0.8979591836734694,216
34,breakdancing,40.0,50.0,0.8,311
35,brush painting,42.0,48.0,0.875,254
36,brushing hair,41.0,50.0,0.82,292
37,brushing teeth,48.0,50.0,0.96,65
38,building cabinet,50.0,50.0,1.0,18
39,building shed,43.0,50.0,0.86,266
40,bungee jumping,48.0,50.0,0.96,69
41,busking,40.0,50.0,0.8,309
42,canoeing or kayaking,46.0,50.0,0.92,156
43,capoeira,46.0,50.0,0.92,158
44,carrying baby,43.0,48.0,0.8958333333333334,227
45,cartwheeling,37.0,50.0,0.74,343
46,carving pumpkin,46.0,48.0,0.9583333333333334,103
47,catching fish,40.0,48.0,0.8333333333333334,291
48,catching or throwing baseball,40.0,50.0,0.8,305
49,catching or throwing frisbee,41.0,50.0,0.82,293
50,catching or throwing softball,44.0,51.0,0.8627450980392157,256
51,celebrating,37.0,50.0,0.74,344
52,changing oil,50.0,50.0,1.0,12
53,changing wheel,41.0,50.0,0.82,297
54,checking tires,45.0,50.0,0.9,198
55,cheerleading,48.0,49.0,0.9795918367346939,60
56,chopping wood,46.0,49.0,0.9387755102040817,142
57,clapping,28.0,48.0,0.5833333333333334,381
58,clay pottery making,48.0,50.0,0.96,86
59,clean and jerk,47.0,49.0,0.9591836734693877,100
60,cleaning floor,38.0,49.0,0.7755102040816326,326
61,cleaning gutters,44.0,50.0,0.88,239
62,cleaning pool,46.0,50.0,0.92,160
63,cleaning shoes,44.0,49.0,0.8979591836734694,221
64,cleaning toilet,47.0,50.0,0.94,120
65,cleaning windows,45.0,50.0,0.9,199
66,climbing a rope,46.0,50.0,0.92,157
67,climbing ladder,44.0,50.0,0.88,241
68,climbing tree,50.0,50.0,1.0,0
69,contact juggling,48.0,50.0,0.96,83
70,cooking chicken,41.0,50.0,0.82,299
71,cooking egg,34.0,50.0,0.68,366
72,cooking on campfire,41.0,48.0,0.8541666666666666,275
73,cooking sausages,37.0,50.0,0.74,341
74,counting money,44.0,49.0,0.8979591836734694,222
75,country line dancing,47.0,50.0,0.94,123
76,cracking neck,44.0,48.0,0.9166666666666666,189
77,crawling baby,48.0,50.0,0.96,89
78,crossing river,45.0,50.0,0.9,208
79,crying,45.0,49.0,0.9183673469387755,183
80,curling hair,44.0,49.0,0.8979591836734694,223
81,cutting nails,40.0,47.0,0.851063829787234,277
82,cutting pineapple,50.0,50.0,1.0,1
83,cutting watermelon,45.0,47.0,0.9574468085106383,106
84,dancing ballet,48.0,50.0,0.96,66
85,dancing charleston,25.0,49.0,0.5102040816326531,391
86,dancing gangnam style,34.0,48.0,0.7083333333333334,358
87,dancing macarena,43.0,49.0,0.8775510204081632,249
88,deadlifting,47.0,49.0,0.9591836734693877,90
89,decorating the christmas tree,49.0,49.0,1.0,4
90,digging,46.0,50.0,0.92,151
91,dining,44.0,50.0,0.88,237
92,disc golfing,49.0,50.0,0.98,32
93,diving cliff,48.0,49.0,0.9795918367346939,54
94,dodgeball,46.0,50.0,0.92,150
95,doing aerobics,34.0,50.0,0.68,367
96,doing laundry,44.0,50.0,0.88,233
97,doing nails,48.0,48.0,1.0,8
98,drawing,42.0,48.0,0.875,253
99,dribbling basketball,47.0,50.0,0.94,132
100,drinking,28.0,49.0,0.5714285714285714,383
101,drinking beer,35.0,50.0,0.7,359
102,drinking shots,31.0,49.0,0.6326530612244898,376
103,driving car,39.0,48.0,0.8125,303
104,driving tractor,47.0,49.0,0.9591836734693877,94
105,drop kicking,28.0,47.0,0.5957446808510638,380
106,drumming fingers,41.0,50.0,0.82,301
107,dunking basketball,43.0,48.0,0.8958333333333334,225
108,dying hair,45.0,47.0,0.9574468085106383,105
109,eating burger,45.0,49.0,0.9183673469387755,184
110,eating cake,38.0,50.0,0.76,327
111,eating carrots,42.0,48.0,0.875,251
112,eating chips,38.0,50.0,0.76,332
113,eating doughnuts,35.0,49.0,0.7142857142857143,356
114,eating hotdog,36.0,50.0,0.72,353
115,eating ice cream,44.0,50.0,0.88,231
116,eating spaghetti,48.0,49.0,0.9795918367346939,52
117,eating watermelon,46.0,50.0,0.92,168
118,egg hunting,48.0,50.0,0.96,70
119,exercising arm,35.0,49.0,0.7142857142857143,355
120,exercising with an exercise ball,38.0,48.0,0.7916666666666666,316
121,extinguishing fire,48.0,49.0,0.9795918367346939,55
122,faceplanting,18.0,49.0,0.3673469387755102,398
123,feeding birds,46.0,50.0,0.92,170
124,feeding fish,44.0,49.0,0.8979591836734694,220
125,feeding goats,49.0,50.0,0.98,37
126,filling eyebrows,48.0,49.0,0.9795918367346939,57
127,finger snapping,35.0,50.0,0.7,360
128,fixing hair,22.0,49.0,0.4489795918367347,394
129,flipping pancake,49.0,49.0,1.0,17
130,flying kite,47.0,50.0,0.94,108
131,folding clothes,44.0,49.0,0.8979591836734694,217
132,folding napkins,46.0,49.0,0.9387755102040817,145
133,folding paper,45.0,49.0,0.9183673469387755,179
134,front raises,49.0,50.0,0.98,39
135,frying vegetables,45.0,50.0,0.9,203
136,garbage collecting,40.0,49.0,0.8163265306122449,302
137,gargling,46.0,49.0,0.9387755102040817,143
